statusId,sensorName,value,timestamp
4,accelerometer-kx023,"[-1.4556746,3.9264908,7.833828]",1560899754741
4,accelerometer-kx023,"[-1.2545617,3.4763808,7.086837]",1560899754746
4,accelerometer-kx023,"[-2.2984335,3.9743748,7.153875]",1560899754751
4,accelerometer-kx023,"[-1.6567876,3.667917,7.249643]",1560899754755
4,accelerometer-kx023,"[-0.82360536,3.8307228,7.335834]",1560899754760
4,accelerometer-kx023,"[0.23942018,3.9360676,7.2687964]",1560899754766
4,accelerometer-kx023,"[0.80445176,3.9360676,6.981492]",1560899754771
4,accelerometer-kx023,"[0.61291564,3.7253778,7.2209125]",1560899754776
4,accelerometer-kx023,"[0.31603462,3.7828386,6.9048777]",1560899754781
4,accelerometer-kx023,"[-0.095768064,3.5338416,7.383718]",1560899754785
4,accelerometer-kx023,"[-0.5267244,3.4763808,8.226477]",1560899754791
4,accelerometer-kx023,"[-0.93852705,3.6774938,8.619126]",1560899754796
4,accelerometer-kx023,"[-1.0630256,3.8786068,9.356541]",1560899754801
4,accelerometer-kx023,"[-1.3024458,3.8019924,9.624691]",1560899754806
4,accelerometer-kx023,"[-1.2449849,3.9552212,9.471462]",1560899754811
4,accelerometer-kx023,"[-1.2354081,4.0318356,9.500193]",1560899754815
4,accelerometer-kx023,"[-1.3024458,4.0318356,9.375694]",1560899754820
4,accelerometer-kx023,"[-1.3694834,4.0701427,9.270349]",1560899754826
4,accelerometer-kx023,"[-1.5705963,4.0797195,9.136273]",1560899754831
4,accelerometer-kx023,"[-1.2737153,3.8594532,9.701305]",1560899754836
4,accelerometer-kx023,"[-1.2737153,3.8594532,9.701305]",1560899754841
4,accelerometer-kx023,"[-1.2737153,3.8594532,9.701305]",1560899754845
4,accelerometer-kx023,"[-0.9768343,3.8019924,9.758766]",1560899754850
4,accelerometer-kx023,"[-0.91937345,3.715801,10.199299]",1560899754856
4,accelerometer-kx023,"[-1.043872,3.7541082,10.505757]",1560899754861
4,accelerometer-kx023,"[-0.90021986,3.7732618,10.658986]",1560899754866
4,accelerometer-kx023,"[-0.90979666,3.916914,10.649409]",1560899754871
4,accelerometer-kx023,"[-1.1300632,4.012682,10.5919485]",1560899754876
4,accelerometer-kx023,"[-1.2641385,4.0222588,10.515334]",1560899754881
4,accelerometer-kx023,"[-1.340753,4.0222588,10.323798]",1560899754885
4,accelerometer-kx023,"[-1.6950948,4.261679,10.314221]",1560899754890
4,accelerometer-kx023,"[-1.8004397,4.3766007,10.46745]",1560899754896
4,accelerometer-kx023,"[-1.685518,3.7732618,10.180145]",1560899754901
4,accelerometer-kx023,"[-1.8674773,3.3135753,9.730036]",1560899754906
4,accelerometer-kx023,"[-2.27928,3.6008794,9.634268]",1560899754911
4,accelerometer-kx023,"[-2.078167,4.0414124,9.730036]",1560899754916
4,accelerometer-kx023,"[-1.1492168,3.7349546,9.969456]",1560899754920
4,accelerometer-kx023,"[-0.7374141,3.5051112,10.1226845]",1560899754925
4,accelerometer-kx023,"[-0.4309563,3.4380736,10.419566]",1560899754930
4,accelerometer-kx023,"[-0.10534488,3.2465374,10.611102]",1560899754936
4,accelerometer-kx023,"[0.095768064,3.323152,10.6877165]",1560899754941
4,accelerometer-kx023,"[0.7661445,3.3135753,10.524911]",1560899754946
4,accelerometer-kx023,"[1.3120226,3.323152,9.921572]",1560899754951
4,accelerometer-kx023,"[1.4173675,3.4093432,9.212888]",1560899754956
4,accelerometer-kx023,"[1.1109096,3.5051112,8.599973]",1560899754961
4,accelerometer-kx023,"[0.7469909,3.6008794,8.111555]",1560899754965
4,accelerometer-kx023,"[0.46926352,3.8307228,7.8146744]",1560899754970
4,accelerometer-kx023,"[0.49799395,3.9839516,7.699753]",1560899754975
4,accelerometer-kx023,"[0.5267244,4.1276035,7.6231384]",1560899754981
4,accelerometer-kx023,"[0.46926352,4.1946416,7.632715]",1560899754986
4,accelerometer-kx023,"[0.36391866,4.3287168,7.6135616]",1560899754991
4,accelerometer-kx023,"[0.30645782,4.3382936,7.5848308]",1560899754996
4,accelerometer-kx023,"[0.2873042,4.3382936,7.872135]",1560899755000
4,accelerometer-kx023,"[0.20111294,4.3287168,8.0924015]",1560899755006
4,accelerometer-kx023,"[0.11492168,4.2425256,8.274361]",1560899755011
4,accelerometer-kx023,"[0.17238252,4.1946416,8.303091]",1560899755015
4,accelerometer-kx023,"[0.095768064,4.2999864,8.255207]",1560899755020
4,accelerometer-kx023,"[0.009576807,4.367024,8.303091]",1560899755026
4,accelerometer-kx023,"[0.0,4.2904096,8.331821]",1560899755031
4,accelerometer-kx023,"[0.17238252,4.2042184,8.39886]",1560899755036
4,accelerometer-kx023,"[0.17238252,4.2042184,8.39886]",1560899755041
4,accelerometer-kx023,"[0.41180268,4.1371803,8.331821]",1560899755045
4,accelerometer-kx023,"[0.35434186,4.223372,8.331821]",1560899755050
4,accelerometer-kx023,"[0.31603462,4.2904096,8.360553]",1560899755056
4,accelerometer-kx023,"[0.31603462,4.2042184,8.379706]",1560899755061
4,accelerometer-kx023,"[0.46926352,4.309563,8.532935]",1560899755066
4,accelerometer-kx023,"[0.46926352,4.309563,8.532935]",1560899755071
4,accelerometer-kx023,"[0.50757074,4.309563,8.599973]",1560899755076
4,accelerometer-kx023,"[0.5746084,4.309563,8.494628]",1560899755080
4,accelerometer-kx023,"[0.5746084,4.3287168,8.37013]",1560899755086
4,accelerometer-kx023,"[0.6512229,4.367024,8.236053]",1560899755091
4,accelerometer-kx023,"[0.6991069,4.3766007,8.1402855]",1560899755096
4,accelerometer-kx023,"[0.6703765,4.4244847,8.1402855]",1560899755100
4,accelerometer-kx023,"[0.641646,4.2904096,8.063671]",1560899755106
4,accelerometer-kx023,"[0.61291564,4.3766007,7.920019]",1560899755111
4,accelerometer-kx023,"[0.60333884,4.367024,8.063671]",1560899755116
4,accelerometer-kx023,"[0.49799395,4.271256,8.054094]",1560899755121
4,accelerometer-kx023,"[0.545878,4.0892963,8.0445175]",1560899755126
4,accelerometer-kx023,"[0.7278373,4.175488,7.9870567]",1560899755131
4,accelerometer-kx023,"[0.79487497,4.2904096,8.236053]",1560899755135
4,accelerometer-kx023,"[0.6991069,4.261679,8.379706]",1560899755140
4,accelerometer-kx023,"[0.6512229,4.156334,8.418014]",1560899755145
4,accelerometer-kx023,"[0.6991069,4.1180267,8.437167]",1560899755151
4,accelerometer-kx023,"[0.8331822,4.1946416,8.465898]",1560899755156
4,accelerometer-kx023,"[0.81402856,4.31914,8.494628]",1560899755161
4,accelerometer-kx023,"[0.842759,4.4723687,8.619126]",1560899755166
4,accelerometer-kx023,"[0.7469909,4.3957543,8.6095495]",1560899755171
4,accelerometer-kx023,"[0.7182605,4.3382936,8.504205]",1560899755175
4,accelerometer-kx023,"[0.9959879,4.453215,8.293514]",1560899755180
4,accelerometer-kx023,"[1.1013328,4.510676,8.111555]",1560899755186
4,accelerometer-kx023,"[1.1109096,4.501099,8.015787]",1560899755191
4,accelerometer-kx023,"[1.0247183,4.6351743,7.9008656]",1560899755196
4,accelerometer-kx023,"[0.9959879,4.6160207,7.9583263]",1560899755201
4,accelerometer-kx023,"[1.1779473,4.5394063,7.920019]",1560899755206
4,accelerometer-kx023,"[1.292869,4.606444,7.9008656]",1560899755211
4,accelerometer-kx023,"[1.4077905,4.663905,7.824251]",1560899755215
4,accelerometer-kx023,"[1.3790601,4.6830587,7.9487495]",1560899755220
4,accelerometer-kx023,"[1.3311762,4.3766007,9.864111]",1560899755226
4,accelerometer-kx023,"[1.2258313,4.721366,10.984597]",1560899755231
4,accelerometer-kx023,"[1.5035586,4.865018,9.126697]",1560899755236
4,accelerometer-kx023,"[1.5993267,4.654328,7.9391727]",1560899755241
4,accelerometer-kx023,"[1.4652514,4.510676,7.8625584]",1560899755246
4,accelerometer-kx023,"[1.283292,4.817134,7.9391727]",1560899755250
4,accelerometer-kx023,"[1.3024458,4.721366,8.1402855]",1560899755255
4,accelerometer-kx023,"[1.283292,4.644751,8.255207]",1560899755260
4,accelerometer-kx023,"[1.1779473,4.6926355,8.303091]",1560899755266
4,accelerometer-kx023,"[1.1492168,4.7788267,8.379706]",1560899755271
4,accelerometer-kx023,"[0.9864111,4.865018,8.504205]",1560899755276
4,accelerometer-kx023,"[0.92895025,4.7979803,8.542512]",1560899755281
4,accelerometer-kx023,"[1.0342951,4.6160207,8.6574335]",1560899755286
4,accelerometer-kx023,"[1.0342951,4.6830587,8.772355]",1560899755291
4,accelerometer-kx023,"[1.1971009,4.673482,9.011775]",1560899755295
4,accelerometer-kx023,"[1.2449849,4.673482,9.212888]",1560899755300
4,accelerometer-kx023,"[1.2449849,4.663905,9.270349]",1560899755305
4,accelerometer-kx023,"[1.2545617,4.7022123,9.279925]",1560899755311
4,accelerometer-kx023,"[1.1875241,4.673482,9.212888]",1560899755316
4,accelerometer-kx023,"[1.0247183,4.865018,9.193734]",1560899755321
4,accelerometer-kx023,"[0.9768343,4.8458643,9.289502]",1560899755326
4,accelerometer-kx023,"[0.9672575,4.8745947,9.165004]",1560899755331
4,accelerometer-kx023,"[0.63206923,4.8937483,9.203311]",1560899755335
4,accelerometer-kx023,"[0.63206923,4.8937483,9.203311]",1560899755340
4,accelerometer-kx023,"[0.545878,4.8841715,9.289502]",1560899755346
4,accelerometer-kx023,"[0.545878,4.8841715,9.289502]",1560899755351
4,accelerometer-kx023,"[0.545878,4.8841715,9.289502]",1560899755356
4,accelerometer-kx023,"[0.58418524,4.903325,9.232041]",1560899755361
4,accelerometer-kx023,"[0.47884035,4.8745947,9.069236]",1560899755366
4,accelerometer-kx023,"[0.29688102,4.8937483,8.935161]",1560899755371
4,accelerometer-kx023,"[0.36391866,5.00867,8.743625]",1560899755376
4,accelerometer-kx023,"[0.4405331,4.951209,8.676587]",1560899755380
