,acc_x,acc_y,acc_z,ori_x,ori_y,ori_z,mag_x,mag_y,mag_z,labelCycling,labelBoxJump,labelSquats,labelSideLunges,labelLunges,labelSkipping
2019-06-19 00:01:48.567,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:01:48.817,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:01:49.067,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:01:49.317,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:01:49.567,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:01:49.817,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:01:50.067,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:01:50.317,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:01:50.567,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:01:50.817,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:01:51.067,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:01:51.317,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:01:51.567,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:01:51.817,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:01:52.067,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:01:52.317,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:01:52.567,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:01:52.817,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:01:53.067,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:01:53.317,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:01:53.567,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:01:53.817,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:01:54.067,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:01:54.317,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:01:54.567,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:01:54.817,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:01:55.067,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:01:55.317,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:01:55.567,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:01:55.817,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:01:56.067,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:01:56.317,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:01:56.567,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:01:56.817,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:01:57.067,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:01:57.317,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:01:57.567,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:01:57.817,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:01:58.067,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:01:58.317,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:01:58.567,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:01:58.817,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:01:59.067,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:01:59.317,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:01:59.567,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:01:59.817,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:00.067,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:00.317,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:00.567,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:00.817,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:01.067,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:01.317,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:01.567,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:01.817,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:02.067,,,,,,,,,,0,0,0,0,1,0
