,loggingTime(txt),x,y,z,label
30,1561135181134000000,20.3951721191,44.1176757812,-545.299560547,0
31,1561135181172000000,19.1807098389,43.0041503906,-547.299987793,0
32,1561135181201000000,16.4155883789,40.2420959473,-550.525024414,0
33,1561135181255000000,16.4155883789,40.2420959473,-550.525024414,0
34,1561135181269000000,14.724029541,39.8589477539,-551.616027832,0
35,1561135181308000000,14.724029541,39.8589477539,-551.616027832,0
36,1561135181340000000,14.517074585,40.1488189697,-551.545410156,0
37,1561135181374000000,14.517074585,40.1488189697,-551.545410156,0
38,1561135181412000000,16.9662628174,41.6211242676,-549.075195312,0
39,1561135181441000000,19.4631958008,43.7721405029,-545.920776367,0
40,1561135181475000000,19.4631958008,43.7721405029,-545.920776367,0
41,1561135181507000000,23.0641174316,46.5093841553,-540.527526855,0
42,1561135181541000000,23.0641174316,46.5093841553,-540.527526855,0
43,1561135181574000000,26.1786956787,47.6522216797,-535.423461914,0
44,1561135181607000000,26.1786956787,47.6522216797,-535.423461914,0
45,1561135181652000000,28.4878692627,49.1367340088,-529.330322266,0
46,1561135181675000000,30.5462799072,49.1841583252,-524.143188477,0
47,1561135181710000000,30.5462799072,49.1841583252,-524.143188477,0
48,1561135181742000000,32.8403930664,49.189239502,-514.788696289,0
49,1561135181777000000,32.8403930664,49.189239502,-514.788696289,0
50,1561135181810000000,34.0447692871,46.5887908936,-507.873321533,0
51,1561135181845000000,34.0447692871,46.5887908936,-507.873321533,0
52,1561135181892000000,35.0077819824,43.8880310059,-503.735107422,0
53,1561135181913000000,35.4056396484,40.6392211914,-499.285827637,0
54,1561135181945000000,35.4056396484,40.6392211914,-499.285827637,0
55,1561135181980000000,35.6633758545,36.4142608643,-494.360412598,0
56,1561135182013000000,35.6633758545,36.4142608643,-494.360412598,0
57,1561135182058000000,36.4164581299,34.1316680908,-494.240844727,0
58,1561135182080000000,36.4164581299,34.1316680908,-494.240844727,0
59,1561135182131000000,32.828125,36.6892089844,-488.069854736,0
60,1561135182148000000,30.911819458,39.5975341797,-486.899841309,0
61,1561135182183000000,30.911819458,39.5975341797,-486.899841309,0
62,1561135182215000000,29.3859100342,46.2394866943,-490.255554199,0
63,1561135182250000000,29.3859100342,46.2394866943,-490.255554199,0
64,1561135182298000000,28.9555664062,50.1561431885,-495.409362793,0
65,1561135182318000000,28.9555664062,50.1561431885,-495.409362793,0
66,1561135182353000000,26.8759307861,50.5953979492,-493.046630859,0
67,1561135182386000000,24.1775665283,53.1623687744,-493.036132812,0
68,1561135182418000000,24.1775665283,53.1623687744,-493.036132812,0
69,1561135182454000000,22.9389953613,56.1613769531,-494.868164062,0
70,1561135182486000000,22.9389953613,56.1613769531,-494.868164062,0
71,1561135182537000000,22.9319610596,56.0830993652,-495.483978271,0
72,1561135182553000000,22.9319610596,56.0830993652,-495.483978271,0
73,1561135182589000000,21.9455413818,57.1573181152,-495.818878174,0
74,1561135182621000000,20.9856414795,58.7418365479,-498.9375,0
75,1561135182656000000,20.9856414795,58.7418365479,-498.9375,0
76,1561135182696000000,20.057510376,58.4692687988,-499.9453125,0
77,1561135182724000000,20.057510376,58.4692687988,-499.9453125,0
78,1561135182776000000,20.209487915,58.5435180664,-501.410125732,0
79,1561135182792000000,20.209487915,58.5435180664,-501.410125732,0
80,1561135182824000000,21.6462249756,57.4162445068,-500.915618896,0
81,1561135182859000000,20.6724090576,58.6445617676,-500.481567383,0
82,1561135182892000000,20.6724090576,58.6445617676,-500.481567383,0
83,1561135182939000000,22.244934082,57.3648529053,-501.757019043,0
84,1561135182959000000,22.244934082,57.3648529053,-501.757019043,0
85,1561135183016000000,21.0982513428,58.2844848633,-501.628479004,0
86,1561135183027000000,21.0982513428,58.2844848633,-501.628479004,0
87,1561135183062000000,19.3564300537,59.3280334473,-501.122314453,0
88,1561135183098000000,19.9388580322,58.9831695557,-500.72555542,0
89,1561135183129000000,19.9388580322,58.9831695557,-500.72555542,0
90,1561135183178000000,19.7220306396,59.1234436035,-500.575683594,0
91,1561135183197000000,19.7220306396,59.1234436035,-500.575683594,0
92,1561135183229000000,19.5711669922,59.1176300049,-500.34576416,0
