,loggingTime(txt),x,y,z,label(N)
120,1.56113518418E+018,24.0918273926,45.9476928711,-484.752624512,0
121,1.56113518422E+018,24.0918273926,45.9476928711,-484.752624512,0
122,1.56113518424E+018,24.8492126465,47.1696624756,-486.614318848,0
123,1.5611351843E+018,23.7980499268,49.5799713135,-488.28125,0
124,1.56113518431E+018,23.7980499268,49.5799713135,-488.28125,0
125,1.56113518435E+018,21.6625976562,52.6913146973,-489.275817871,0
126,1.56113518438E+018,21.6625976562,52.6913146973,-489.275817871,0
127,1.56113518441E+018,20.6919555664,55.2461700439,-492.640686035,0
128,1.56113518446E+018,20.6919555664,55.2461700439,-492.640686035,0
129,1.56113518448E+018,19.4586791992,58.4538269043,-497.560546875,0
130,1.56113518454E+018,18.1028137207,59.7928466797,-501.219299316,0
131,1.56113518455E+018,18.1028137207,59.7928466797,-501.219299316,0
132,1.56113518458E+018,12.354095459,61.9895782471,-502.082519531,0
133,1.56113518462E+018,12.354095459,61.9895782471,-502.082519531,0
134,1.56113518465E+018,9.43374633789,63.6334686279,-505.067779541,0
135,1.5611351847E+018,9.43374633789,63.6334686279,-505.067779541,0
136,1.56113518472E+018,9.20703125,63.6241607666,-504.838623047,0
137,1.56113518475E+018,10.6157226562,63.1720733643,-503.660644531,0
138,1.56113518478E+018,10.6157226562,63.1720733643,-503.660644531,0
139,1.56113518482E+018,11.9425811768,62.6398620605,-502.790679932,0
140,1.56113518485E+018,11.9425811768,62.6398620605,-502.790679932,0
141,1.56113518489E+018,12.3184204102,62.652130127,-503.789581299,0
142,1.56113518494E+018,12.3184204102,62.652130127,-503.789581299,0
143,1.56113518495E+018,13.1289672852,62.4522705078,-506.323181152,0
144,1.56113518499E+018,13.6001434326,61.7120819092,-509.083282471,0
145,1.56113518502E+018,13.6001434326,61.7120819092,-509.083282471,0
146,1.56113518506E+018,13.5773162842,61.3411560059,-508.30670166,0
147,1.5611351851E+018,13.5773162842,61.3411560059,-508.30670166,0
148,1.56113518512E+018,11.8147735596,62.0838623047,-507.950378418,0
149,1.56113518518E+018,11.8147735596,62.0838623047,-507.950378418,0
150,1.56113518519E+018,13.2075195312,61.4055175781,-507.000457764,0
151,1.56113518522E+018,13.8930206299,61.4425048828,-505.991516113,0
152,1.56113518526E+018,13.8930206299,61.4425048828,-505.991516113,0
153,1.56113518529E+018,16.4618988037,60.1597747803,-502.321228027,0
154,1.56113518534E+018,16.4618988037,60.1597747803,-502.321228027,0
155,1.56113518536E+018,17.3354492188,59.6757049561,-502.536346436,0
156,1.56113518542E+018,17.3354492188,59.6757049561,-502.536346436,0
157,1.56113518543E+018,17.6157226562,59.3852386475,-503.377319336,0
158,1.56113518546E+018,17.2439422607,59.4463500977,-502.687988281,0
159,1.5611351855E+018,17.2439422607,59.4463500977,-502.687988281,0
160,1.56113518553E+018,17.6458740234,58.6468811035,-501.823425293,0
161,1.56113518558E+018,17.6458740234,58.6468811035,-501.823425293,0
162,1.5611351856E+018,18.5054779053,57.9398498535,-501.649658203,0
163,1.56113518563E+018,18.5054779053,57.9398498535,-501.649658203,0
164,1.56113518566E+018,19.2235870361,57.3758087158,-501.479492188,0
165,1.5611351857E+018,19.6414031982,56.8025665283,-500.386901855,0
166,1.56113518574E+018,19.6414031982,56.8025665283,-500.386901855,0
167,1.56113518577E+018,19.8272705078,56.1446228027,-499.141052246,0
168,1.56113518582E+018,19.8272705078,56.1446228027,-499.141052246,0
169,1.56113518583E+018,19.8025817871,55.7040252686,-497.360900879,0
170,1.56113518587E+018,19.8025817871,55.7040252686,-497.360900879,0
171,1.5611351859E+018,19.6083679199,55.0268249512,-496.427154541,0
172,1.56113518593E+018,19.5256347656,54.8786315918,-495.423217773,0
173,1.56113518598E+018,19.5256347656,54.8786315918,-495.423217773,0
174,1.561135186E+018,19.9893798828,55.0476989746,-495.806640625,0
175,1.56113518606E+018,19.9893798828,55.0476989746,-495.806640625,0
176,1.56113518607E+018,20.4426727295,55.1327667236,-497.885498047,0
177,1.5611351861E+018,20.4426727295,55.1327667236,-497.885498047,0
178,1.56113518614E+018,18.3109436035,54.8194732666,-495.974487305,0
179,1.56113518617E+018,16.4781188965,55.5012512207,-492.301940918,0
180,1.56113518621E+018,16.4781188965,55.5012512207,-492.301940918,0
181,1.56113518624E+018,15.1436462402,57.9971160889,-489.345977783,0
182,1.56113518627E+018,15.1436462402,57.9971160889,-489.345977783,0
183,1.56113518631E+018,15.7623291016,60.4881134033,-490.380187988,0
184,1.56113518634E+018,15.7623291016,60.4881134033,-490.380187988,0
185,1.56113518638E+018,14.8130493164,62.0902404785,-490.182922363,0
186,1.56113518641E+018,14.1811523438,62.8082580566,-490.277404785,0
187,1.56113518646E+018,14.1811523438,62.8082580566,-490.277404785,0
188,1.56113518648E+018,18.1403808594,61.0431213379,-491.1355896,0
189,1.56113518651E+018,18.1403808594,61.0431213379,-491.1355896,0
190,1.56113518654E+018,19.0832214355,58.2423553467,-491.700256348,0
191,1.56113518658E+018,19.0832214355,58.2423553467,-491.700256348,0
192,1.56113518662E+018,13.1831512451,59.2444763184,-490.850219727,0
193,1.56113518664E+018,7.18937683105,58.5591125488,-482.880584717,0
194,1.56113518669E+018,7.18937683105,58.5591125488,-482.880584717,0
195,1.56113518671E+018,0.8974609375,55.6919403076,-474.803649902,0
196,1.56113518674E+018,0.8974609375,55.6919403076,-474.803649902,0
197,1.56113518678E+018,-4.55209350586,58.8841400146,-473.828186035,0
198,1.56113518681E+018,-4.55209350586,58.8841400146,-473.828186035,0
199,1.56113518685E+018,-13.8023681641,54.8221588135,-467.845336914,0
200,1.56113518688E+018,-19.8350067139,49.386932373,-467.05279541,0
201,1.56113518693E+018,-19.8350067139,49.386932373,-467.05279541,0
202,1.56113518695E+018,-28.3941497803,45.9041900635,-470.942749023,0
203,1.56113518698E+018,-28.3941497803,45.9041900635,-470.942749023,0
204,1.56113518702E+018,-35.9992980957,45.5126495361,-478.494659424,0
205,1.56113518705E+018,-35.9992980957,45.5126495361,-478.494659424,0
206,1.5611351871E+018,-39.5093536377,46.3679046631,-484.09588623,0
207,1.56113518712E+018,-40.0257263184,47.821472168,-487.593597412,0
208,1.56113518715E+018,-40.0257263184,47.821472168,-487.593597412,0
209,1.56113518718E+018,-38.6745147705,51.1601867676,-490.329833984,0
210,1.56113518722E+018,-38.6745147705,51.1601867676,-490.329833984,0
211,1.56113518726E+018,-36.2784576416,55.442276001,-493.532531738,0
212,1.56113518729E+018,-36.2784576416,55.442276001,-493.532531738,0
213,1.56113518734E+018,-33.007019043,60.4979858398,-499.591430664,0
214,1.56113518735E+018,-29.5093994141,64.5074157715,-507.559997559,0
215,1.56113518739E+018,-29.5093994141,64.5074157715,-507.559997559,0
